country,region,year,pop_total,pop_growth,avg_temp_c,avg_temp_f
Nigeria,Sub-Saharan Africa,2009,154324933,2.66291669141271,27.4515,81.4127
Nigeria,Sub-Saharan Africa,2010,158503197,2.67144293297664,27.661749999999998,81.79114999999997
Nigeria,Sub-Saharan Africa,2011,162805071,2.67788382710598,27.229111111111116,81.01239999999999
Nigeria,Sub-Saharan Africa,2012,167228767,2.68091355548778,27.007749999999998,80.61394999999999
Nigeria,Sub-Saharan Africa,2013,171765769,2.67690032836617,27.429791666666663,81.373625
Pakistan,South Asia,2000,142343578,2.64739868789172,25.921083333333332,78.65795
Pakistan,South Asia,2001,145978402,2.52149807074211,25.87925,78.58265
Pakistan,South Asia,2002,149549700,2.41700997973482,26.13963888888888,79.05135000000001
Pakistan,South Asia,2003,153093373,2.34192372365491,25.464916666666667,77.83685000000003
Pakistan,South Asia,2004,156664697,2.30598173240965,26.201638888888883,79.16295
Pakistan,South Asia,2005,160304008,2.29642288055496,25.375166666666665,77.67530000000002
Pakistan,South Asia,2006,164022627,2.29323253973896,25.68772222222222,78.2379
Pakistan,South Asia,2007,167808105,2.28167065966113,25.84002777777778,78.51205
Pakistan,South Asia,2008,171648986,2.26305181005178,25.506861111111107,77.91235
Pakistan,South Asia,2009,175525609,2.2333339971915,26.048638888888902,78.88754999999998
Pakistan,South Asia,2010,179424641,2.19703399896102,26.136722222222218,79.0461
Pakistan,South Asia,2011,183340592,2.15902890237783,25.657527777777783,78.18355000000001
Pakistan,South Asia,2012,187281475,2.1267117557464,25.496222222222226,77.89320000000002
Pakistan,South Asia,2013,191262919,2.10363216926499,26.372291666666666,79.47012500000001
Peru,Latin America & Caribbean,2000,26459944,1.45287598200945,17.018166666666666,62.6327
Peru,Latin America & Caribbean,2001,26799285,1.27431657739862,16.948666666666668,62.5076
Peru,Latin America & Caribbean,2002,27100968,1.11942387484829,17.44333333333333,63.398
Peru,Latin America & Caribbean,2003,27372226,0.995940286383992,17.35683333333333,63.24229999999999
Peru,Latin America & Caribbean,2004,27624213,0.916382107556129,17.293749999999996,63.12875000000002
Peru,Latin America & Caribbean,2005,27866145,0.871984040730567,17.019499999999997,62.6351
Peru,Latin America & Caribbean,2006,28102056,0.843022977126391,17.608333333333334,63.69499999999999
Peru,Latin America & Caribbean,2007,28333052,0.818629743825196,16.68016666666667,62.024300000000004
Peru,Latin America & Caribbean,2008,28562317,0.80592232705653,17.337416666666666,63.20735
Peru,Latin America & Caribbean,2009,28792655,0.803205826108256,17.396999999999995,63.31459999999999
Peru,Latin America & Caribbean,2010,29027674,0.812933092400048,16.968999999999998,62.54419999999999
Peru,Latin America & Caribbean,2011,29264318,0.811930736644263,17.03475,62.66255000000001
Peru,Latin America & Caribbean,2012,29506788,0.825138038811882,17.68091666666667,63.82565000000002
Peru,Latin America & Caribbean,2013,29773987,0.901475426085886,16.995375,62.591674999999995
Philippines,East Asia & Pacific,2000,77991755,2.15904319962954,27.020666666666667,80.63719999999999
Philippines,East Asia & Pacific,2001,79672873,2.13260480205448,27.17125,80.90825
Philippines,East Asia & Pacific,2002,81365258,2.10192120093769,27.10308333333334,80.78555000000001
Philippines,East Asia & Pacific,2003,83051971,2.05181924647104,27.07316666666667,80.7317
